Date,Category,Payment_mode,Description,Amount,Cashback
2025-01-02,groceries,cash,How least write green whether listen along matter.,90.32,6.45
2025-01-24,clothing,wallet,Rest production last bring chair raise would partner.,65.31,5.79
2025-01-25,care products,net banking,Face prepare a.,26.5,9.61
2025-01-27,bills,cash,Group knowledge usually own rich Democrat want everyone.,22.53,9.32
2025-01-16,investments,digital wallets,Half return his accept rest put.,84.9,9.4
2025-01-06,transportation,digital wallets,Well official assume behind hospital production really.,38.76,1.06
2025-01-25,bills,wallet,Including student dinner himself even table girl.,64.19,6.54
2025-01-16,memberships,wallet,Sense herself sure religious day.,40.33,2.58
2025-01-30,clothing,debit card,Account change spend strategy once.,54.44,9.45
2025-01-27,travel,debit card,Market good position student career avoid.,84.07,8.28
2025-01-27,medical,debit card,Race tonight front go manage scene.,81.73,7.84
2025-01-25,home essential,net banking,Any husband suffer nor big.,30.69,3.75
2025-01-24,clothing,mobile payments,Bill entire boy several music return black.,90.08,4.11
2025-01-21,home essential,prepaid cards,Plan personal use central natural mean.,70.52,1.24
2025-01-12,medical,upi,Current law three quickly.,51.34,7.31
2025-01-28,vegetables,cash,Also real on million trip.,17.16,1.92
2025-01-28,memberships,net banking,Adult assume gas data meet challenge kid.,13.93,1.33
2025-01-25,vegetables,cash,Year event weight effort tell pick.,22.98,8.72
2025-01-29,home essential,prepaid cards,Draw new money tell.,90.81,1.95
2025-01-07,medical,digital wallets,May edge half the.,39.86,1.34
2025-01-01,travel,prepaid cards,Type may security never remember talk large.,95.45,3.3
2025-01-05,school fees,cash,Everyone mention standard fall else.,64.81,2.73
2025-01-08,investments,debit card,Born big water possible office scene.,10.79,2.29
2025-01-07,gas,credit card,Available nice list too successful.,17.24,7.03
2025-01-11,investments,prepaid cards,Argue American majority different me sell manager.,23.98,3.26
2025-01-03,fruits,cash,Line likely response major prove grow word.,43.99,6.72
2025-01-15,travel,prepaid cards,Clear decade first school road.,37.22,6.49
2025-01-19,transportation,prepaid cards,Design where necessary outside push sometimes.,40.66,9.81
2025-01-21,emergency funds,prepaid cards,Guy lawyer less perhaps.,48.08,8.48
2025-01-09,clothing,credit card,Election own training prove move talk.,66.96,6.24
2025-01-01,school fees,wallet,Probably we conference take small value interesting.,97.34,7.25
2025-01-25,bills,digital wallets,Away goal population clear defense expect.,94.81,3.31
2025-01-25,memberships,net banking,Money prove here force respond receive.,73.76,8.18
2025-01-06,sports&fitness,digital wallets,Direction network activity explain call model.,58.63,5.5
2025-01-28,parking,digital wallets,Worker difference last center add rich still expect.,25.36,9.55
2025-01-02,fruits,cash,Serve wind possible hope machine table other.,87.23,3.07
2025-01-01,emergency funds,mobile payments,Perform myself real expert rate ball number.,33.83,5.05
2025-01-26,medical,debit card,Direction point coach more short.,74.58,8.35
2025-01-10,school fees,cash,Consumer meet training dream.,71.63,6.03
2025-01-05,fruits,prepaid cards,In campaign general anyone better out without.,65.91,9.77
2025-01-26,subscriptions,wallet,Heavy agree affect worry hit ten gun.,54.78,2.23
2025-01-16,investments,mobile payments,Push think position foreign quickly fast certainly.,28.58,2.88
2025-01-25,vegetables,net banking,Recent fill to wall.,46.54,5.44
2025-01-01,emergency funds,wallet,Prepare rate cause.,47.68,6.97
2025-01-25,care products,digital wallets,Work myself color second toward eat box coach.,47.58,5.76
2025-01-15,medical,mobile payments,Back myself purpose skin image.,48.25,8.26
2025-01-13,transportation,prepaid cards,Church under spring.,97.54,8.26
2025-01-10,subscriptions,debit card,Hour recently sit tonight both ahead price.,11.7,6.72
2025-01-07,emergency funds,credit card,Concern wrong meet reduce under likely.,76.9,4.55
2025-01-08,vegetables,cash,Model purpose work team student individual describe open.,34.31,5.89
2025-01-28,bills,wallet,Argue paper why himself purpose.,86.57,4.42
2025-01-17,vegetables,cash,Technology budget approach first report.,60.6,7.21
2025-01-10,sports&fitness,net banking,Lay pull show even.,54.02,6.73
2025-01-15,home essential,debit card,Film certainly case language protect someone.,37.42,3.98
2025-01-19,memberships,upi,Never play truth subject.,43.87,7.59
2025-01-07,memberships,digital wallets,Probably debate receive fish simple.,49.89,7.66
2025-01-14,subscriptions,upi,Close capital event eight watch training plant.,53.35,8.84
2025-01-02,school fees,debit card,Statement as assume forget wind.,98.75,7.95
2025-01-30,care products,wallet,Parent between light offer add check.,75.55,5.29
2025-01-14,subscriptions,cash,Especially and order first.,67.8,3.59
2025-01-17,transportation,digital wallets,Certain simply series blue.,65.08,8.74
2025-01-23,care products,wallet,Hotel summer stock morning us.,96.66,6.25
2025-01-17,transportation,net banking,Idea issue option goal organization network.,18.3,2.98
2025-01-25,care products,upi,Dream collection knowledge politics focus.,25.44,7.56
2025-01-10,emergency funds,wallet,Natural generation industry season fast.,97.3,9.44
2025-01-03,care products,prepaid cards,Continue operation look cause truth.,59.36,3.16
2025-01-12,gas,wallet,Along exactly stand beat.,70.25,1.76
2025-01-19,investments,digital wallets,Seven usually still note big maintain recent.,35.79,4.11
2025-01-27,school fees,upi,Most site bank air.,91.41,5.49
2025-01-08,transportation,net banking,Far administration risk pay organization reveal.,37.21,8.13
2025-01-04,memberships,cash,Baby travel song responsibility.,81.08,5.06
2025-01-16,clothing,mobile payments,Bar purpose sell less.,39.41,3.91
2025-01-01,home essential,mobile payments,National down news rise.,13.2,7.03
2025-01-17,parking,upi,Purpose role his charge.,65.31,7.27
2025-01-23,transportation,net banking,Education Congress save speech.,76.26,6.34
2025-01-29,medical,mobile payments,Office against baby ask.,87.16,8.24
2025-01-18,emergency funds,net banking,Nature theory than treatment as history between.,96.98,2.88
2025-01-13,memberships,net banking,Everybody seat respond college prove enough somebody.,18.2,5.47
2025-01-15,stationary,wallet,Fill inside billion attorney number player.,68.01,5.66
2025-01-30,emergency funds,mobile payments,Security world establish lead authority film force push.,64.56,6.01
2025-01-13,subscriptions,wallet,Question reason change explain.,75.97,9.68
2025-02-25,vegetables,prepaid cards,Ball picture help look.,11.08,4.18
2025-02-09,groceries,prepaid cards,Ten policy left subject deal above school.,18.39,2.71
2025-02-15,vegetables,mobile payments,Add six degree contain back management rise.,99.2,3.21
2025-02-08,medical,cash,School expert subject support.,68.89,5.34
2025-02-26,medical,upi,Above pick cultural create.,32.83,2.48
2025-02-09,stationary,net banking,Order message system success.,78.79,4.31
2025-02-06,memberships,cash,Future enter surface least own like citizen.,62.44,4.78
2025-02-18,travel,net banking,Capital life score while natural red.,83.2,3.59
2025-02-27,groceries,credit card,Education fact agency camera stay pass she.,64.89,6.04
2025-02-01,fruits,credit card,Know big sign number.,45.15,2.89
2025-02-03,transportation,wallet,Her professor win tend letter truth occur.,44.15,9.51
2025-02-15,travel,net banking,Enjoy newspaper blue million support because Republican.,28.17,3.91
2025-02-25,investments,debit card,Above study brother my best cultural this.,27.4,7.37
2025-02-16,parking,credit card,Others threat main dinner usually player per.,84.48,7.74
2025-02-21,groceries,wallet,Partner order various event.,11.51,4.59
2025-02-18,groceries,net banking,Of speech watch son eye kitchen.,46.61,3.69
2025-02-04,bills,mobile payments,Play adult article mean beyond successful.,63.0,8.22
2025-02-11,memberships,digital wallets,Story describe at back when class significant win.,45.29,1.36
2025-02-19,care products,digital wallets,Letter arm rise.,31.09,6.09
2025-02-09,stationary,upi,Half these edge painting around.,46.44,4.22
2025-02-09,investments,prepaid cards,Cell affect group who.,64.54,2.73
2025-02-04,medical,upi,Win finally baby car but evidence.,55.06,9.18
2025-02-13,medical,wallet,Lay activity fact like movement feel hot player.,82.13,9.24
2025-02-08,home essential,mobile payments,Measure hold plan relationship run line future.,89.55,3.93
2025-02-15,stationary,wallet,Share audience for they.,61.15,4.28
2025-02-02,vegetables,cash,Personal huge time check study increase nature compare.,29.6,7.94
2025-02-27,home essential,upi,Blood defense sea realize four blue.,27.61,7.63
2025-02-04,travel,wallet,Begin approach note child information million.,30.32,4.73
2025-02-08,clothing,upi,Fish similar seem until soon travel focus.,94.35,7.45
2025-02-09,medical,net banking,West man term kind year.,79.05,1.79
2025-02-15,gas,prepaid cards,History strategy church officer our environment people.,17.4,1.12
2025-02-04,medical,debit card,Market dinner family pay operation treat ball.,46.73,8.41
2025-02-22,investments,prepaid cards,Outside some pretty.,16.73,3.4
2025-02-10,care products,net banking,Finish ground him game seek guy.,74.49,8.78
2025-02-22,vegetables,upi,Care long whose.,56.6,5.2
2025-02-11,school fees,debit card,Past rate international put month.,77.31,1.41
2025-02-19,investments,debit card,Begin business month.,29.33,9.58
2025-02-19,sports&fitness,prepaid cards,Turn relate face expect dinner.,56.37,1.13
2025-02-21,memberships,upi,Condition rich outside.,34.52,7.92
2025-02-12,stationary,cash,See great follow could billion together.,45.99,6.54
2025-02-16,travel,credit card,Main others billion on.,55.86,4.55
2025-02-02,vegetables,mobile payments,Camera amount activity imagine.,74.69,5.26
2025-02-10,memberships,wallet,Think never financial a despite gun perform.,12.28,9.89
2025-02-26,clothing,prepaid cards,Matter citizen police production.,56.73,8.48
2025-02-14,bills,cash,Staff single PM serve magazine different.,94.86,5.12
2025-02-07,medical,cash,Where hand price pull.,80.39,4.19
2025-02-26,school fees,credit card,Help act girl ground thousand.,56.12,4.08
2025-02-12,vegetables,net banking,Enough buy price decision bad put.,31.31,8.99
2025-02-13,groceries,debit card,Report really plant film who.,98.18,1.53
2025-02-16,transportation,digital wallets,Bar record their.,14.28,4.5
2025-02-23,home essential,cash,Tonight system available hit.,62.01,6.84
2025-02-16,medical,upi,Whether rest design grow soon shake sport page.,52.53,3.58
2025-02-19,vegetables,mobile payments,Town newspaper month respond four.,67.02,3.31
2025-02-08,emergency funds,debit card,Year will somebody now Republican question.,58.2,5.05
2025-02-09,fruits,credit card,Issue unit else court.,27.81,9.26
2025-02-26,fruits,wallet,Change professional pay energy.,35.65,1.12
2025-02-15,school fees,mobile payments,Particular executive whose civil.,50.71,1.65
2025-02-02,school fees,digital wallets,Grow hear middle live near apply.,57.8,5.62
2025-02-05,bills,mobile payments,Travel serve bed forget personal score.,91.13,4.28
2025-02-06,vegetables,digital wallets,Positive natural community population provide spring.,51.93,8.06
2025-02-13,travel,net banking,Month over product owner.,83.37,5.58
2025-02-03,school fees,mobile payments,Home quality by the red.,90.57,2.71
2025-02-13,subscriptions,mobile payments,Scientist most serious he.,50.87,2.47
2025-02-18,investments,credit card,So finish church authority together.,34.85,4.87
2025-02-19,parking,cash,Budget result project thus say without.,87.58,1.13
2025-02-06,home essential,net banking,Trial human rise same actually thought amount than.,96.97,2.06
2025-02-02,parking,upi,Race about moment radio provide or meet score.,88.87,5.54
2025-02-12,clothing,digital wallets,Responsibility mother laugh hot break experience.,25.89,6.43
2025-02-25,memberships,debit card,Until me figure respond toward yes.,41.35,6.83
2025-02-10,gas,credit card,Democrat them recognize guy join good.,75.41,7.85
2025-02-05,home essential,digital wallets,Career inside staff ten center western.,93.22,2.02
2025-02-22,bills,wallet,Interview bed lawyer task.,19.75,7.57
2025-02-25,school fees,prepaid cards,Include end pull remember success four someone.,99.52,7.91
2025-02-09,stationary,prepaid cards,Rock religious case such almost.,22.27,3.13
2025-02-01,transportation,upi,Morning trouble prevent listen listen toward talk.,81.86,9.1
2025-02-14,care products,digital wallets,Until action sometimes trouble.,48.54,5.96
2025-02-14,clothing,digital wallets,Investment wear here.,67.96,5.5
2025-02-04,travel,mobile payments,Tell shoulder plant laugh final not say.,11.73,9.5
2025-02-20,transportation,mobile payments,Development follow scientist attack.,32.52,6.83
2025-02-27,care products,net banking,Them probably plant second feel under.,86.06,1.86
2025-02-16,travel,credit card,Religious reduce me name.,50.42,8.3
2025-02-13,stationary,digital wallets,Feeling anyone piece.,52.42,6.84
2025-02-17,bills,cash,None few church fall.,94.42,8.62
2025-02-26,vegetables,cash,Growth contain trade visit very check.,51.84,9.08
2025-02-05,transportation,upi,Forward center fly easy western civil deal.,13.63,1.85
2025-02-08,groceries,prepaid cards,Those sell food exactly develop.,63.29,6.41
2025-02-15,vegetables,prepaid cards,Image cut threat.,50.68,7.25
2025-02-27,investments,upi,Sister day sell none ten if.,56.32,8.62
2025-02-10,bills,cash,Special south seat clear step message at ask.,18.3,8.76
2025-02-25,parking,upi,Of food event late ability.,99.45,6.89
2025-02-20,home essential,digital wallets,Technology bag want address.,30.66,8.63
2025-02-16,memberships,mobile payments,Indicate customer brother score see yet.,89.47,1.24
2025-02-25,transportation,prepaid cards,With contain quickly bill.,16.89,6.49
2025-02-21,care products,debit card,Democratic to arrive attorney.,83.64,1.06
2025-02-17,clothing,digital wallets,Side him always one.,90.29,8.71
2025-02-19,school fees,wallet,Business along ever bed.,96.7,8.0
2025-02-02,parking,wallet,Less section sing how why green deep.,82.35,9.94
2025-02-01,emergency funds,credit card,Beyond statement may same teach subject democratic.,86.64,1.54
2025-02-24,medical,mobile payments,Cell national involve traditional.,33.77,9.01
2025-02-25,clothing,upi,Positive data research change.,86.91,7.22
2025-02-01,school fees,net banking,Authority question space allow bill.,36.22,4.25
2025-02-04,vegetables,credit card,Assume from too admit old amount.,37.27,6.29
2025-02-08,groceries,credit card,Write for financial usually.,33.68,2.84
2025-02-21,stationary,prepaid cards,Season late quality fall father fall ready trade.,31.86,8.06
2025-02-25,vegetables,mobile payments,Election off not thank usually though city.,18.45,7.85
2025-02-18,stationary,credit card,Into something chair history run control too degree.,44.49,1.64
2025-02-01,care products,upi,Special politics three single occur night.,91.67,6.95
2025-02-16,sports&fitness,net banking,Day authority responsibility character full product whole.,10.17,4.15
2025-02-05,investments,credit card,High land usually specific off wait.,85.91,2.23
2025-02-02,vegetables,debit card,Place magazine society around.,21.63,5.13
2025-03-12,emergency funds,upi,Bring hold whatever PM yes success page.,75.27,5.75
2025-03-08,gas,prepaid cards,Fight party crime decision.,87.4,5.73
2025-03-19,bills,wallet,Understand only drive air.,77.92,7.49
2025-03-08,transportation,mobile payments,Must write listen place process.,67.22,3.45
2025-03-03,stationary,net banking,Argue enough care business generation TV pressure.,44.33,2.66
2025-03-09,home essential,net banking,Daughter once respond happen.,68.31,9.29
2025-03-16,gas,digital wallets,System arrive whose approach.,33.25,7.46
2025-03-28,emergency funds,debit card,Voice check under event that modern audience.,67.17,1.48
2025-03-21,subscriptions,net banking,Professor business end company well.,17.01,9.53
2025-03-21,travel,upi,Choose interesting stage place discuss probably give.,28.28,6.21
2025-03-07,gas,prepaid cards,Common else kind administration organization one.,56.34,4.77
2025-03-10,groceries,credit card,Smile through suffer away avoid.,93.68,3.16
2025-03-14,fruits,prepaid cards,Keep office suggest under.,12.98,9.97
2025-03-13,gas,wallet,Body although standard.,88.71,4.19
2025-03-29,medical,mobile payments,Message quality you wind tend.,29.85,7.61
2025-03-18,gas,cash,Theory race eat size.,51.8,3.59
2025-03-26,care products,upi,Any south join soldier big.,66.95,4.76
2025-03-08,bills,upi,Yard security no story public decide.,66.94,9.16
2025-03-09,transportation,debit card,Point task although artist wide same.,94.53,6.75
2025-03-09,sports&fitness,debit card,Order decide way seat main.,37.6,9.56
2025-03-24,parking,digital wallets,Morning fight with final carry professor forget discuss.,64.5,5.5
2025-03-18,vegetables,net banking,Under final full certain.,22.66,2.09
2025-03-09,subscriptions,credit card,Sense career wife actually.,71.57,6.55
2025-03-26,groceries,credit card,While yeah remember husband.,53.46,7.26
2025-03-12,medical,prepaid cards,Heart future wrong run conference job.,23.88,4.02
2025-03-06,groceries,wallet,Fear hope test reason drop control not.,64.77,8.9
2025-03-05,parking,credit card,Issue girl bank determine international.,20.91,9.67
2025-03-27,home essential,prepaid cards,Perhaps then top particularly.,40.31,6.72
2025-03-22,clothing,upi,Manager structure culture time else keep.,59.88,4.44
2025-03-23,groceries,digital wallets,Man civil draw despite impact.,61.44,1.8
2025-03-11,memberships,mobile payments,Be daughter miss whose.,83.46,1.2
2025-03-26,transportation,mobile payments,Tv east television per thousand those election kid.,87.94,6.39
2025-03-13,memberships,wallet,Peace ever of example build challenge around despite.,63.6,7.37
2025-03-20,sports&fitness,prepaid cards,Onto against Republican keep deep above.,10.45,6.62
2025-03-24,gas,upi,Name past left bit.,76.07,6.73
2025-03-12,travel,prepaid cards,Three year popular past election.,14.95,2.94
2025-03-02,sports&fitness,credit card,Member although work goal administration.,16.31,6.5
2025-03-24,subscriptions,mobile payments,Fire most woman answer letter.,92.13,3.98
2025-03-05,emergency funds,prepaid cards,Senior know that message.,39.38,7.09
2025-03-15,vegetables,prepaid cards,Wish director focus method.,87.29,1.27
2025-03-24,home essential,debit card,Win owner class both hard.,41.51,3.06
2025-03-26,investments,mobile payments,Cut actually brother fire.,33.77,3.96
2025-03-22,home essential,prepaid cards,Development public do region simple near.,86.3,7.39
2025-03-06,school fees,digital wallets,Mrs personal country program half notice treatment though.,79.09,4.26
2025-03-13,gas,mobile payments,Article professor work discuss notice born hard white.,70.43,5.56
2025-03-20,groceries,digital wallets,Become light employee tend a really it.,21.48,2.62
2025-03-29,emergency funds,prepaid cards,Director early writer.,37.76,2.74
2025-03-10,investments,debit card,Attorney lot test whether arm bank raise.,38.87,8.54
2025-03-25,sports&fitness,wallet,Throw law ask.,69.94,3.01
2025-03-26,bills,cash,Throw night think skin often weight would.,85.52,3.37
2025-03-08,school fees,prepaid cards,Be could there radio discover kind.,86.82,6.52
2025-03-18,emergency funds,digital wallets,Professional since college allow.,12.41,1.8
2025-03-09,vegetables,cash,Play live side different our until middle.,69.77,9.1
2025-03-25,emergency funds,cash,Crime majority team return somebody.,62.96,6.13
2025-03-26,emergency funds,debit card,Kid pick property everyone miss front discover.,89.38,6.83
2025-03-17,investments,prepaid cards,Oil little however help.,92.81,6.9
2025-03-14,parking,upi,Exist increase than along return hand human.,25.11,7.34
2025-03-21,care products,cash,Suffer push stock everything.,58.72,2.96
2025-03-17,parking,upi,Short strategy policy investment program sit director.,12.37,4.12
2025-03-19,care products,cash,Population baby another.,89.61,5.22
2025-03-19,investments,credit card,Actually reason her.,47.85,9.43
2025-03-27,fruits,credit card,Stuff like several himself second.,69.44,5.97
2025-03-21,investments,mobile payments,Yes do voice enough everything arm.,84.41,4.91
2025-03-18,gas,credit card,Behavior quickly opportunity college senior question.,65.67,9.34
2025-03-18,care products,credit card,Candidate grow night true woman country share.,15.45,6.08
2025-03-14,fruits,wallet,Particularly identify leg reduce figure role.,15.38,9.25
2025-03-21,travel,credit card,Particularly increase worker performance.,63.82,1.25
2025-03-06,memberships,debit card,Available learn sea fear stuff city.,41.67,9.8
2025-03-23,bills,prepaid cards,Already win especially voice example choose environment.,20.4,5.68
2025-03-29,parking,prepaid cards,Popular by recent.,54.31,1.49
2025-03-24,travel,digital wallets,Easy finish change.,98.87,6.63
2025-03-03,investments,credit card,Employee leave type charge small performance among appear.,89.69,8.71
2025-03-18,medical,upi,There must place technology.,52.11,2.04
2025-03-16,sports&fitness,credit card,Film clear particularly support during either run.,15.35,7.85
2025-03-10,emergency funds,wallet,Start weight task skill.,20.87,7.12
2025-03-01,transportation,net banking,People brother TV attorney environmental.,50.99,6.68
2025-03-29,home essential,cash,Ready always chance radio goal.,73.98,1.05
2025-03-29,bills,wallet,Soon rate show adult push employee.,96.42,2.38
2025-03-29,medical,upi,Give mind last day seek within knowledge.,10.81,4.48
2025-03-03,clothing,net banking,Inside quickly say itself forward success serve.,68.94,9.71
2025-03-26,travel,wallet,Far policy myself entire see best argue.,79.94,9.05
2025-03-04,travel,net banking,Then keep bar laugh.,76.89,5.28
2025-03-02,investments,wallet,Continue day foreign book occur resource small.,47.43,4.64
2025-03-05,transportation,mobile payments,Game budget three spring.,48.04,3.84
2025-03-27,parking,prepaid cards,Rich school owner huge lead time.,20.61,1.93
2025-03-16,emergency funds,digital wallets,Tonight hold think.,38.86,9.83
2025-03-16,travel,debit card,News unit site.,53.82,4.49
2025-03-28,school fees,net banking,Growth civil paper work have himself.,53.43,7.81
2025-03-27,groceries,mobile payments,Change hospital movement account.,28.08,3.59
2025-03-03,memberships,wallet,Seek tough wall box small executive.,66.48,5.79
2025-03-19,medical,prepaid cards,Charge every full its amount.,54.76,5.16
2025-03-10,investments,debit card,Ready part none customer region through return.,62.19,1.7
2025-03-07,fruits,upi,Back second work free sort budget never.,55.4,5.72
2025-03-15,stationary,upi,Board every PM college quite reason serious.,35.07,3.82
2025-03-05,home essential,cash,Parent form east figure wall.,75.99,6.61
2025-03-17,groceries,credit card,Upon politics to fine because present send.,76.18,6.88
2025-03-18,gas,wallet,Likely want yourself sort.,63.89,5.16
2025-03-29,vegetables,cash,Deal she member enough.,68.56,2.81
2025-03-19,clothing,credit card,Degree leave better TV.,16.89,1.56
2025-03-30,school fees,net banking,Guess its possible interest speech anything agreement.,87.99,7.5
2025-03-11,home essential,upi,Owner cultural newspaper beat case.,23.17,3.63
2025-03-13,parking,prepaid cards,Financial clearly theory sort.,91.78,9.37
2025-03-13,clothing,digital wallets,Technology lay wife the team husband.,97.0,7.75
2025-03-16,gas,prepaid cards,Senior at thing.,22.73,1.43
2025-03-15,gas,wallet,The program office sea get nice.,41.77,6.68
2025-03-04,stationary,upi,Front school strong area fear word your.,31.48,6.83
2025-03-05,travel,wallet,Collection million military painting.,17.75,8.12
2025-03-01,parking,upi,Economic discuss long theory challenge kid.,86.33,3.85
2025-03-11,memberships,prepaid cards,Street at brother music civil accept better back.,29.94,8.25
2025-03-10,emergency funds,prepaid cards,Fish live energy lawyer stage ok economy.,84.0,1.35
2025-04-07,sports&fitness,debit card,Think either instead town.,43.23,1.89
2025-04-22,home essential,digital wallets,Him part pass account.,66.4,9.02
2025-04-21,sports&fitness,mobile payments,East hundred concern economic agent always fund.,28.87,2.79
2025-04-20,stationary,credit card,Fine heart finish yes.,10.77,1.69
2025-04-08,travel,digital wallets,Parent probably between five field.,82.79,4.3
2025-04-08,stationary,credit card,Black analysis develop job dinner long late.,39.51,8.59
2025-04-28,gas,prepaid cards,Budget land course TV now focus support.,16.45,7.15
2025-04-06,stationary,digital wallets,Agreement usually remain understand feel always.,59.12,9.27
2025-04-25,travel,upi,Doctor civil hour catch.,31.13,8.77
2025-04-25,investments,prepaid cards,Degree performance go take.,73.97,8.35
2025-04-21,bills,prepaid cards,City behind to claim west.,62.67,7.78
2025-04-27,emergency funds,debit card,Parent provide per.,30.24,1.32
2025-04-19,fruits,prepaid cards,Fact four scene play popular garden work.,62.56,9.76
2025-04-14,parking,digital wallets,Claim herself production if old training.,40.07,7.85
2025-04-22,groceries,upi,Talk street set.,95.27,3.14
2025-04-15,groceries,credit card,Nature audience budget instead likely ten blood.,93.62,5.36
2025-04-04,medical,digital wallets,Strong important positive position understand treat another.,37.99,1.9
2025-04-16,vegetables,net banking,Investment much trial institution body.,58.88,4.06
2025-04-22,transportation,mobile payments,Through material worker always.,14.22,4.07
2025-04-09,medical,upi,Sing woman lay never laugh.,29.9,7.76
2025-04-17,home essential,debit card,Theory often plan decade.,95.16,6.52
2025-04-10,fruits,credit card,Choice husband best firm between whatever always.,57.12,8.86
2025-04-22,fruits,wallet,Case seem so.,37.78,9.11
2025-04-14,bills,prepaid cards,Social director baby address writer week.,35.83,8.19
2025-04-03,parking,net banking,Sort decision agree movie view.,15.59,6.44
2025-04-05,travel,debit card,Mind stuff might cause rest join offer.,26.59,8.29
2025-04-19,stationary,wallet,Throw would stage near pass executive.,62.57,8.93
2025-04-24,emergency funds,mobile payments,Play bit base follow.,29.1,3.19
2025-04-26,groceries,debit card,Maintain risk talk exactly lot same.,92.28,2.42
2025-04-25,school fees,cash,Protect peace true face offer its quickly.,75.79,3.04
2025-04-09,medical,wallet,Important rock response.,40.6,8.24
2025-04-03,transportation,cash,Teach fast inside rich song indicate significant state.,42.06,4.72
2025-04-10,subscriptions,wallet,Picture nice fine leg generation.,81.13,2.92
2025-04-03,investments,digital wallets,Modern some point will across.,92.39,5.72
2025-04-27,parking,digital wallets,Care difficult suggest board according evening give.,73.75,7.58
2025-04-04,investments,prepaid cards,After act clearly sell.,54.88,3.66
2025-04-16,sports&fitness,upi,Design answer administration management couple.,30.73,5.03
2025-04-16,stationary,wallet,Stop series people personal hold toward benefit.,46.19,7.69
2025-04-17,gas,net banking,Anyone note security put investment explain.,90.55,1.68
2025-04-25,travel,upi,Open thank cost plant agree ability present.,37.84,6.4
2025-04-18,home essential,wallet,Choice knowledge stage.,30.96,5.5
2025-04-02,bills,cash,Culture certain industry any this.,82.09,6.43
2025-04-20,bills,credit card,Hold her anything it kind lot wait.,44.78,1.07
2025-04-29,vegetables,mobile payments,Floor catch tell day turn.,99.81,3.88
2025-04-04,stationary,digital wallets,Leave edge law culture agree increase film.,20.71,4.85
2025-04-22,sports&fitness,net banking,Actually wall west reason.,56.21,9.53
2025-04-13,groceries,digital wallets,Writer these nor talk attorney.,89.07,3.7
2025-04-19,fruits,net banking,Ground know raise bad.,39.18,4.11
2025-04-16,bills,mobile payments,Green pattern fall true appear save when ok.,20.38,9.58
2025-04-26,bills,wallet,Quality level early will heavy financial.,94.91,4.1
2025-04-05,groceries,net banking,Reality though move tax meeting doctor agent approach.,40.49,1.51
2025-04-12,gas,digital wallets,Likely management few.,25.04,2.48
2025-04-29,transportation,net banking,Support professional minute recent seem ask improve.,53.94,8.77
2025-04-29,care products,digital wallets,Which style home happy sound special.,64.23,7.11
2025-04-20,gas,credit card,West return year need establish support newspaper.,98.56,8.7
2025-04-12,investments,digital wallets,Girl hit cover agent Mr option.,51.17,3.41
2025-04-26,investments,mobile payments,Price wish wife sort open miss.,90.42,8.03
2025-04-29,bills,debit card,Work there explain left.,65.04,4.22
2025-04-14,stationary,prepaid cards,Fish million event still.,96.41,1.23
2025-04-23,subscriptions,credit card,From include middle animal suffer.,77.43,9.79
2025-04-12,school fees,net banking,Week Republican improve more top month.,30.02,3.25
2025-04-22,transportation,mobile payments,Family they summer lay.,45.95,4.36
